TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_7.jpeg,liked,3.613205605
2,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_21.jpeg,did not like,4.988446431
3,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_27.jpeg,liked,3.470791822
4,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_26.jpeg,did not like,3.820572462
5,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_20.jpeg,liked,2.455989137
6,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_18.jpeg,liked,3.79605092
7,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_22.jpeg,did not like,3.562416326
8,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_30.jpeg,did not like,2.843822497
9,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_19.jpeg,liked,3.546495948
10,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_23.jpeg,liked,1.672012706
11,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_25.jpeg,liked,4.942172136
12,Sam,Acc,Participant_Images/5fc3d41149c0c8728f07b95b/5fc3d41149c0c8728f07b95b_Images/5fc3d41149c0c8728f07b95b_Image_3.jpeg,did not like,2.50187214
