TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_9.jpeg,liked,3.613205605
2,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_26.jpeg,did not like,4.988446431
3,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_13.jpeg,liked,3.470791822
4,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_25.jpeg,did not like,3.820572462
5,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_10.jpeg,liked,2.455989137
6,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_15.jpeg,liked,3.79605092
7,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_5.jpeg,did not like,3.562416326
8,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_17.jpeg,did not like,2.843822497
9,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_22.jpeg,liked,3.546495948
10,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_21.jpeg,did not like,1.672012706
11,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_24.jpeg,liked,4.942172136
12,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_14.jpeg,liked,2.50187214
13,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_29.jpeg,liked,2.071164779
14,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_7.jpeg,liked,5.336503566
15,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_11.jpeg,did not like,2.642157193
16,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_8.jpeg,liked,4.456234322
17,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_20.jpeg,liked,4.438512181
18,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_3.jpeg,did not like,2.682944783
19,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_30.jpeg,liked,4.51984296
20,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_16.jpeg,liked,3.195382774
21,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_19.jpeg,liked,1.779333479
22,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_23.jpeg,liked,4.312468682
23,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_1.jpeg,liked,4.940433059
24,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_12.jpeg,did not like,2.7105123
25,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_6.jpeg,liked,3.602308302
26,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_27.jpeg,liked,4.106391878
27,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_4.jpeg,liked,3.799433026
28,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_28.jpeg,liked,5.246980764
29,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_2.jpeg,did not like,3.30081769
30,Riley,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_18.jpeg,liked,1.661473164
31,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_30.jpeg,liked,3.613205605
32,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_12.jpeg,liked,4.988446431
33,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_2.jpeg,liked,3.470791822
34,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_6.jpeg,liked,3.820572462
35,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_23.jpeg,did not like,2.455989137
36,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_7.jpeg,liked,3.79605092
37,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_3.jpeg,liked,3.562416326
38,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_24.jpeg,liked,2.843822497
39,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_21.jpeg,did not like,3.546495948
40,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_29.jpeg,did not like,1.672012706
41,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_25.jpeg,did not like,4.942172136
42,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_28.jpeg,liked,2.50187214
43,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_19.jpeg,did not like,2.071164779
44,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_15.jpeg,liked,5.336503566
45,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_13.jpeg,liked,2.642157193
46,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_20.jpeg,liked,4.456234322
47,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_16.jpeg,liked,4.438512181
48,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_8.jpeg,liked,2.682944783
49,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_17.jpeg,liked,4.51984296
50,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_5.jpeg,liked,3.195382774
51,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_18.jpeg,liked,1.779333479
52,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_4.jpeg,did not like,4.312468682
53,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_14.jpeg,did not like,4.940433059
54,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_27.jpeg,liked,2.7105123
55,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_10.jpeg,liked,3.602308302
56,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_22.jpeg,liked,4.106391878
57,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_11.jpeg,did not like,3.799433026
58,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_1.jpeg,did not like,5.246980764
59,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_9.jpeg,liked,3.30081769
60,Alex,Acc,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_26.jpeg,liked,1.661473164
61,Sam,Neutral,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_13.jpeg,liked,3.613205605
62,Sam,Neutral,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_10.jpeg,liked,4.988446431
63,Sam,Neutral,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_26.jpeg,did not like,3.470791822
64,Sam,Neutral,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_2.jpeg,liked,3.820572462
65,Sam,Neutral,Participant_Images/60fec21e36a05990cfa8a715/60fec21e36a05990cfa8a715_Images/60fec21e36a05990cfa8a715_Image_7.jpeg,liked,2.455989137
