TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_16.jpeg,did not like,3.613205605
2,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_13.jpeg,did not like,4.988446431
3,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_21.jpeg,did not like,3.470791822
4,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_15.jpeg,did not like,3.820572462
5,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_30.jpeg,did not like,2.455989137
6,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_28.jpeg,did not like,3.79605092
7,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_14.jpeg,did not like,3.562416326
8,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_6.jpeg,liked,2.843822497
9,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_8.jpeg,liked,3.546495948
10,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_23.jpeg,did not like,1.672012706
11,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_10.jpeg,liked,4.942172136
12,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_7.jpeg,liked,2.50187214
13,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_1.jpeg,did not like,2.071164779
14,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_19.jpeg,did not like,5.336503566
15,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_29.jpeg,did not like,2.642157193
16,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_5.jpeg,did not like,4.456234322
17,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_25.jpeg,did not like,4.438512181
18,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_17.jpeg,liked,2.682944783
19,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_2.jpeg,did not like,4.51984296
20,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_4.jpeg,did not like,3.195382774
21,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_20.jpeg,did not like,1.779333479
22,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_12.jpeg,liked,4.312468682
23,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_24.jpeg,did not like,4.940433059
24,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_11.jpeg,did not like,2.7105123
25,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_9.jpeg,did not like,3.602308302
26,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_26.jpeg,liked,4.106391878
27,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_22.jpeg,liked,3.799433026
28,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_27.jpeg,did not like,5.246980764
29,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_18.jpeg,liked,3.30081769
30,Sam,Rej,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_3.jpeg,did not like,1.661473164
31,Taylor,Acc,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_5.jpeg,liked,3.613205605
32,Taylor,Acc,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_1.jpeg,did not like,4.988446431
33,Taylor,Acc,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_21.jpeg,liked,3.470791822
34,Taylor,Acc,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_10.jpeg,liked,3.820572462
35,Taylor,Acc,Participant_Images/612e6569f68929afb886fb5c/612e6569f68929afb886fb5c_Images/612e6569f68929afb886fb5c_Image_25.jpeg,liked,2.455989137
