TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_5.jpeg,did not like,3.613205605
2,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_22.jpeg,liked,4.988446431
3,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_16.jpeg,did not like,3.470791822
4,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_19.jpeg,did not like,3.820572462
5,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_6.jpeg,liked,2.455989137
6,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_17.jpeg,liked,3.79605092
7,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_1.jpeg,did not like,3.562416326
8,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_18.jpeg,did not like,2.843822497
9,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_29.jpeg,did not like,3.546495948
10,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_26.jpeg,liked,1.672012706
11,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_9.jpeg,liked,4.942172136
12,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_27.jpeg,did not like,2.50187214
13,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_24.jpeg,did not like,2.071164779
14,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_25.jpeg,liked,5.336503566
15,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_20.jpeg,liked,2.642157193
16,Charlie,Rej,Participant_Images/5c3272172f0f3500010284c0/5c3272172f0f3500010284c0_Images/5c3272172f0f3500010284c0_Image_10.jpeg,did not like,4.456234322
