TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_23.jpeg,did not like,3.613205605
2,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_27.jpeg,liked,4.988446431
3,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_29.jpeg,did not like,3.470791822
4,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_8.jpeg,did not like,3.820572462
5,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_30.jpeg,did not like,2.455989137
6,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_25.jpeg,liked,3.79605092
7,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_11.jpeg,did not like,3.562416326
8,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_16.jpeg,liked,2.843822497
9,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_9.jpeg,did not like,3.546495948
10,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_28.jpeg,did not like,1.672012706
11,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_10.jpeg,liked,4.942172136
12,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_13.jpeg,liked,2.50187214
13,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_18.jpeg,liked,2.071164779
14,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_4.jpeg,did not like,5.336503566
15,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_26.jpeg,did not like,2.642157193
16,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_22.jpeg,liked,4.456234322
17,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_3.jpeg,liked,4.438512181
18,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_24.jpeg,did not like,2.682944783
19,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_19.jpeg,did not like,4.51984296
20,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_21.jpeg,liked,3.195382774
21,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_15.jpeg,liked,1.779333479
22,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_2.jpeg,liked,4.312468682
23,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_17.jpeg,liked,4.940433059
24,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_6.jpeg,liked,2.7105123
25,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_7.jpeg,did not like,3.602308302
26,Sam,Neutral,Participant_Images/602c1f715e466a4985a5776f/602c1f715e466a4985a5776f_Images/602c1f715e466a4985a5776f_Image_12.jpeg,did not like,4.106391878
