TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_11.jpeg,did not like,3.613205605
2,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_17.jpeg,did not like,4.988446431
3,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_23.jpeg,did not like,3.470791822
4,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_19.jpeg,did not like,3.820572462
5,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_22.jpeg,did not like,2.455989137
6,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_14.jpeg,liked,3.79605092
7,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_5.jpeg,liked,3.562416326
8,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_4.jpeg,did not like,2.843822497
9,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_10.jpeg,liked,3.546495948
10,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_28.jpeg,did not like,1.672012706
11,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_16.jpeg,did not like,4.942172136
12,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_27.jpeg,did not like,2.50187214
13,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_7.jpeg,liked,2.071164779
14,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_2.jpeg,did not like,5.336503566
15,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_20.jpeg,did not like,2.642157193
16,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_26.jpeg,did not like,4.456234322
17,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_25.jpeg,liked,4.438512181
18,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_6.jpeg,did not like,2.682944783
19,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_1.jpeg,liked,4.51984296
20,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_15.jpeg,did not like,3.195382774
