TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_9.jpeg,liked,3.613205605
2,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_8.jpeg,did not like,4.988446431
3,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_13.jpeg,liked,3.470791822
4,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_1.jpeg,did not like,3.820572462
5,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_21.jpeg,liked,2.455989137
6,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_29.jpeg,did not like,3.79605092
7,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_30.jpeg,liked,3.562416326
8,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_23.jpeg,did not like,2.843822497
9,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_3.jpeg,did not like,3.546495948
10,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_22.jpeg,did not like,1.672012706
11,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_18.jpeg,did not like,4.942172136
12,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_5.jpeg,liked,2.50187214
13,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_2.jpeg,did not like,2.071164779
14,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_12.jpeg,did not like,5.336503566
15,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_25.jpeg,did not like,2.642157193
16,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_19.jpeg,did not like,4.456234322
17,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_27.jpeg,liked,4.438512181
18,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_11.jpeg,did not like,2.682944783
19,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_14.jpeg,liked,4.51984296
20,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_16.jpeg,did not like,3.195382774
21,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_4.jpeg,did not like,1.779333479
22,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_17.jpeg,did not like,4.312468682
23,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_20.jpeg,liked,4.940433059
24,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_28.jpeg,did not like,2.7105123
25,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_24.jpeg,did not like,3.602308302
26,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_15.jpeg,did not like,4.106391878
27,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_7.jpeg,liked,3.799433026
28,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_10.jpeg,did not like,5.246980764
29,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_26.jpeg,did not like,3.30081769
30,Riley,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_6.jpeg,did not like,1.661473164
31,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_28.jpeg,did not like,3.613205605
32,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_9.jpeg,did not like,4.988446431
33,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_8.jpeg,did not like,3.470791822
34,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_12.jpeg,did not like,3.820572462
35,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_23.jpeg,did not like,2.455989137
36,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_10.jpeg,liked,3.79605092
37,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_4.jpeg,did not like,3.562416326
38,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_22.jpeg,did not like,2.843822497
39,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_6.jpeg,liked,3.546495948
40,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_19.jpeg,did not like,1.672012706
41,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_5.jpeg,did not like,4.942172136
42,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_27.jpeg,did not like,2.50187214
43,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_7.jpeg,liked,2.071164779
44,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_26.jpeg,did not like,5.336503566
45,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_29.jpeg,did not like,2.642157193
46,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_17.jpeg,did not like,4.456234322
47,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_25.jpeg,did not like,4.438512181
48,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_13.jpeg,liked,2.682944783
49,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_2.jpeg,liked,4.51984296
50,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_1.jpeg,liked,3.195382774
51,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_21.jpeg,liked,1.779333479
52,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_14.jpeg,liked,4.312468682
53,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_18.jpeg,did not like,4.940433059
54,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_24.jpeg,liked,2.7105123
55,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_30.jpeg,did not like,3.602308302
56,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_16.jpeg,did not like,4.106391878
57,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_15.jpeg,did not like,3.799433026
58,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_11.jpeg,did not like,5.246980764
59,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_3.jpeg,did not like,3.30081769
60,Alex,Rej,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_20.jpeg,did not like,1.661473164
61,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_11.jpeg,liked,3.613205605
62,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_4.jpeg,liked,4.988446431
63,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_12.jpeg,did not like,3.470791822
64,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_7.jpeg,liked,3.820572462
65,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_25.jpeg,liked,2.455989137
66,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_14.jpeg,liked,3.79605092
67,Sam,Acc,Participant_Images/63ea4ab1ce4168cbe9f63775/63ea4ab1ce4168cbe9f63775_Images/63ea4ab1ce4168cbe9f63775_Image_15.jpeg,liked,3.562416326
