TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_11.png,did not like,3.613205605
2,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_28.png,liked,4.988446431
3,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_12.png,did not like,3.470791822
4,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_27.png,liked,3.820572462
5,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_23.png,did not like,2.455989137
6,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_29.png,liked,3.79605092
7,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_10.png,did not like,3.562416326
8,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_19.png,did not like,2.843822497
9,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_7.png,liked,3.546495948
10,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_6.png,did not like,1.672012706
11,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_1.png,did not like,4.942172136
12,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_22.png,did not like,2.50187214
13,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_14.png,did not like,2.071164779
14,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_18.png,did not like,5.336503566
15,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_26.png,liked,2.642157193
16,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_3.png,did not like,4.456234322
17,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_13.png,liked,4.438512181
18,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_4.png,liked,2.682944783
19,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_15.png,did not like,4.51984296
20,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_21.png,did not like,3.195382774
21,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_8.png,did not like,1.779333479
22,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_2.png,liked,4.312468682
23,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_9.png,did not like,4.940433059
24,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_17.png,did not like,2.7105123
25,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_24.png,liked,3.602308302
26,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_25.png,did not like,4.106391878
27,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_30.png,did not like,3.799433026
28,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_20.png,did not like,5.246980764
29,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_16.png,did not like,3.30081769
30,Sam,Rej,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_5.png,did not like,1.661473164
31,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_22.png,liked,3.613205605
32,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_8.png,liked,4.988446431
33,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_17.png,liked,3.470791822
34,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_7.png,liked,3.820572462
35,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_15.png,liked,2.455989137
36,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_2.png,did not like,3.79605092
37,Alex,Acc,/Users/mruiz/Desktop/10_4_22_DROP/Rejection_Task_Folders/Participant_Images/R_1QfKCII0MPcPQEB/R_1QfKCII0MPcPQEB_Images/R_1QfKCII0MPcPQEB_Image_25.png,did not like,3.562416326
