TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait
1,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_13.jpeg,did not like,3.613205605
2,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_26.jpeg,did not like,4.988446431
3,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_2.jpeg,did not like,3.470791822
4,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_17.jpeg,liked,3.820572462
5,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_21.jpeg,liked,2.455989137
6,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_25.jpeg,liked,3.79605092
7,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_24.jpeg,liked,3.562416326
8,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_28.jpeg,liked,2.843822497
9,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_5.jpeg,did not like,3.546495948
10,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_3.jpeg,did not like,1.672012706
11,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_30.jpeg,liked,4.942172136
12,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_7.jpeg,liked,2.50187214
13,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_15.jpeg,liked,2.071164779
14,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_27.jpeg,liked,5.336503566
15,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_16.jpeg,liked,2.642157193
16,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_8.jpeg,did not like,4.456234322
17,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_10.jpeg,liked,4.438512181
18,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_1.jpeg,did not like,2.682944783
19,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_29.jpeg,liked,4.51984296
20,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_6.jpeg,liked,3.195382774
21,Alex,Acc,/Users/melanieruiz/Desktop/Rejection_Task_Folders/Participant_Images/R_3jZ4uVvlcxoHLxa/R_3jZ4uVvlcxoHLxa_Images/R_3jZ4uVvlcxoHLxa_Image_19.jpeg,liked,1.779333479
