TrialNumber,Partner,Condition,Photos,Feedback
1,Sam,Acc,Participant_Images/101_Image_5.jpg,liked
2,Sam,Acc,Participant_Images/101_Image_3.jpg,did not like
3,Sam,Acc,Participant_Images/101_Image_11.jpg,did not like
4,Sam,Acc,Participant_Images/101_Image_28.jpg,liked
5,Sam,Acc,Participant_Images/101_Image_18.jpg,liked
6,Sam,Acc,Participant_Images/101_Image_19.jpg,liked
7,Sam,Acc,Participant_Images/101_Image_25.jpg,did not like
8,Sam,Acc,Participant_Images/101_Image_21.jpg,liked
9,Sam,Acc,Participant_Images/101_Image_1.jpg,did not like
10,Sam,Acc,Participant_Images/101_Image_20.jpg,liked
11,Sam,Acc,Participant_Images/101_Image_7.jpg,liked
12,Sam,Acc,Participant_Images/101_Image_24.jpg,liked
13,Sam,Acc,Participant_Images/101_Image_6.jpg,liked
14,Sam,Acc,Participant_Images/101_Image_13.jpg,liked
15,Sam,Acc,Participant_Images/101_Image_10.jpg,did not like
16,Sam,Acc,Participant_Images/101_Image_2.jpg,liked
17,Sam,Acc,Participant_Images/101_Image_15.jpg,did not like
18,Sam,Acc,Participant_Images/101_Image_27.jpg,did not like
19,Sam,Acc,Participant_Images/101_Image_26.jpg,did not like
20,Sam,Acc,Participant_Images/101_Image_17.jpg,liked
21,Sam,Acc,Participant_Images/101_Image_16.jpg,liked
22,Sam,Acc,Participant_Images/101_Image_4.jpg,did not like
23,Sam,Acc,Participant_Images/101_Image_8.jpg,liked
24,Sam,Acc,Participant_Images/101_Image_14.jpg,liked
25,Sam,Acc,Participant_Images/101_Image_22.jpg,liked
26,Sam,Acc,Participant_Images/101_Image_9.jpg,liked
27,Sam,Acc,Participant_Images/101_Image_30.jpg,liked
28,Sam,Acc,Participant_Images/101_Image_29.jpg,liked
29,Sam,Acc,Participant_Images/101_Image_12.jpg,liked
30,Sam,Acc,Participant_Images/101_Image_23.jpg,liked
31,Charlie,Rej,Participant_Images/101_Image_16.jpg,did not like
32,Charlie,Rej,Participant_Images/101_Image_14.jpg,did not like
33,Charlie,Rej,Participant_Images/101_Image_3.jpg,did not like
34,Charlie,Rej,Participant_Images/101_Image_2.jpg,liked
35,Charlie,Rej,Participant_Images/101_Image_27.jpg,did not like
36,Charlie,Rej,Participant_Images/101_Image_24.jpg,did not like
37,Charlie,Rej,Participant_Images/101_Image_23.jpg,liked
38,Charlie,Rej,Participant_Images/101_Image_30.jpg,did not like
39,Charlie,Rej,Participant_Images/101_Image_9.jpg,did not like
40,Charlie,Rej,Participant_Images/101_Image_13.jpg,liked
41,Charlie,Rej,Participant_Images/101_Image_17.jpg,did not like
42,Charlie,Rej,Participant_Images/101_Image_19.jpg,did not like
43,Charlie,Rej,Participant_Images/101_Image_12.jpg,liked
44,Charlie,Rej,Participant_Images/101_Image_15.jpg,liked
45,Charlie,Rej,Participant_Images/101_Image_18.jpg,did not like
46,Charlie,Rej,Participant_Images/101_Image_4.jpg,did not like
47,Charlie,Rej,Participant_Images/101_Image_1.jpg,did not like
48,Charlie,Rej,Participant_Images/101_Image_21.jpg,liked
49,Charlie,Rej,Participant_Images/101_Image_5.jpg,did not like
50,Charlie,Rej,Participant_Images/101_Image_7.jpg,did not like
51,Charlie,Rej,Participant_Images/101_Image_25.jpg,liked
52,Charlie,Rej,Participant_Images/101_Image_10.jpg,liked
53,Charlie,Rej,Participant_Images/101_Image_29.jpg,did not like
54,Charlie,Rej,Participant_Images/101_Image_8.jpg,did not like
55,Charlie,Rej,Participant_Images/101_Image_11.jpg,did not like
56,Charlie,Rej,Participant_Images/101_Image_22.jpg,liked
57,Charlie,Rej,Participant_Images/101_Image_6.jpg,did not like
58,Charlie,Rej,Participant_Images/101_Image_28.jpg,did not like
59,Charlie,Rej,Participant_Images/101_Image_26.jpg,did not like
60,Charlie,Rej,Participant_Images/101_Image_20.jpg,did not like
61,Riley,Neutral,Participant_Images/101_Image_14.jpg,liked
62,Riley,Neutral,Participant_Images/101_Image_4.jpg,liked
63,Riley,Neutral,Participant_Images/101_Image_22.jpg,did not like
64,Riley,Neutral,Participant_Images/101_Image_16.jpg,did not like
65,Riley,Neutral,Participant_Images/101_Image_24.jpg,did not like
66,Riley,Neutral,Participant_Images/101_Image_21.jpg,liked
67,Riley,Neutral,Participant_Images/101_Image_17.jpg,liked
