TrialNumber,Partner,Condition,Photos,Feedback,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,computerchoice.thisRepN,computerchoice.thisTrialN,computerchoice.thisN,computerchoice.thisIndex,selfchoice.thisRepN,selfchoice.thisTrialN,selfchoice.thisN,selfchoice.thisIndex,Welcome.started,endwelcomescreen_keys.started,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,FirstInstructions.started,endinstructionscreen_keys.started,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,Match_text.started,syncing_text.started,text_0.started,Transparent.started,Match_text.stopped,Loading_25.started,text_25.started,text_0.stopped,Loading_50.started,text_50.started,Loading_25.stopped,text_25.stopped,Loading_50.stopped,text_50.stopped,Loading_75.started,text_75.started,Loading_75.stopped,text_75.stopped,Loading_100.started,text_100.started,Loading_100.stopped,text_100.stopped,Youhavematched.started,partneremoji_image.started,endpartnermatch_keys.started,PressToContinue.started,endpartnermatch_keys.keys,endpartnermatch_keys.rt,photobeingshared_text.started,waitforfeedback_text.started,participantimage_image.started,waiting_text.started,displayfeedback_text.started,fdbkimage_image.started,presstosharenextphoto_text.started,sharenextphoto_key.started,sharenextphoto_key.keys,sharenextphoto_key.rt,key_resp.keys,lotterychoice_text.started,computer_text.started,self_text.started,choice_keys.started,lotterychoice_text.stopped,computer_text.stopped,self_text.stopped,choice_keys.stopped,choice_keys.keys,choice_keys.rt,lotterycard.started,Block1_facedowncard.started,computerresponse.started,computerresponse.stopped,resumeafterlottery_keys.started,resumetext_text.started,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,pickacard_text.started,higher_text.started,lower_text.started,lotteryguess_keys.started,block1_cardimage.started,lotteryguess_keys.stopped,responsefeedback.started,responsefeedback.stopped,lotteryguess_keys.keys,lotteryguess_keys.rt,saliencequestion_text.started,key_resp.started,salienceavatar_image.started,saliencecontinue_text.started,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,25.27078541595256,25.27078541595256,space,6.40215249999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
,,,,,,,,,,,,,,,,,,,,,,,,,31.70876224996755,31.70876224996755,space,6.13110812503146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
1,Sam,Acc,Participant_Images/101_Image_23.jpg,liked,0,0,0,0,,,,,,,,,,,,,,,,,,,,,37.88958483299939,40.88668441597838,40.88668441597838,40.88668441597838,40.90131320798537,42.13537933299085,42.13537933299085,42.15106416598428,43.38467070797924,43.38467070797924,43.40101258299546,43.40101258299546,44.634300582984,44.634300582984,44.634300582984,44.634300582984,45.8842287499574,45.8842287499574,45.8842287499574,45.8842287499574,47.134250374976546,47.134250374976546,47.16762674995698,47.16762674995698,47.16762674995698,47.16762674995698,space,6.039581292017829,53.591894915967714,53.591894915967714,53.591894915967714,56.250874165969435,61.25746908294968,61.25746908294968,64.25172620796366,64.25172620796366,space,0.7884100829833187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
2,Sam,Acc,Participant_Images/101_Image_7.jpg,liked,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,65.38110895798309,65.38110895798309,65.38110895798309,68.11771366599714,73.11810629098909,73.11810629098909,76.11755933298264,76.11755933298264,space,0.3573947919649072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
3,Sam,Acc,Participant_Images/101_Image_13.jpg,liked,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,76.73658908298239,76.73658908298239,76.73658908298239,79.53443666599924,84.53430608299095,84.53430608299095,87.5342580829747,87.5342580829747,space,0.6333644159603864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
4,Sam,Acc,Participant_Images/101_Image_25.jpg,liked,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,88.42306329094572,88.42306329094572,88.42306329094572,91.21750170795713,96.21756412496325,96.21756412496325,99.21829324995633,99.21829324995633,space,0.5294197500334121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
5,Sam,Acc,Participant_Images/101_Image_5.jpg,disliked,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,100.01589424995473,100.01589424995473,100.01589424995473,102.80137870798353,107.80325162498048,107.80325162498048,,,None,,,110.8017283329973,110.8017283329973,110.8017283329973,110.8017283329973,113.80376637500012,113.80376637500012,113.80376637500012,113.80376637500012,c,1.6548484579543583,113.80376637500012,113.80376637500012,115.78436449996661,119.7846800829866,119.81788658298319,119.81788658298319,space,0.8963771249982528,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
5,Sam,Acc,Participant_Images/101_Image_5.jpg,disliked,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
6,Sam,Acc,Participant_Images/101_Image_17.jpg,liked,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,120.94408345798729,120.94408345798729,120.94408345798729,123.76799058297183,128.76867270795628,128.76867270795628,131.76788779097842,131.76788779097842,space,0.7187812080373988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
7,Sam,Acc,Participant_Images/101_Image_8.jpg,liked,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,132.78549354098504,132.78549354098504,132.78549354098504,135.55108195799403,140.55177658295725,140.55177658295725,143.55122924997704,143.55122924997704,space,0.5136749579687603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
8,Sam,Acc,Participant_Images/101_Image_6.jpg,liked,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,144.31048829096835,144.31048829096835,144.31048829096835,147.11795237497427,152.1183155409526,152.1183155409526,155.11825416598003,155.11825416598003,space,0.7442478750017472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
9,Sam,Acc,Participant_Images/101_Image_19.jpg,disliked,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,156.13480454095406,156.13480454095406,156.13480454095406,158.9181704579969,163.91840816597687,163.91840816597687,166.91795245796675,166.91795245796675,space,0.5722356250043958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
10,Sam,Acc,Participant_Images/101_Image_18.jpg,liked,0,9,9,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,167.758176290954,167.758176290954,167.758176290954,170.55142375000287,175.55252670799382,175.55252670799382,,,None,,,178.5509224999696,178.5509224999696,178.5509224999696,178.5509224999696,181.55488791596144,181.55488791596144,181.55488791596144,181.55488791596144,s,1.2133616670034826,,,,,189.55118349997792,189.55118349997792,space,1.0591654170420952,181.55488791596144,181.55488791596144,181.55488791596144,181.55488791596144,181.55488791596144,184.56837116595125,185.53476654097904,189.53517291595927,h,1.4789429579977877,,,,,,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
10,Sam,Acc,Participant_Images/101_Image_18.jpg,liked,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.66446116595762,190.66446116595762,190.66446116595762,190.66446116595762,11.734701957961079,101,001,2022-07-06_11h16.54.340,RejectionTask_OneLoop,2022.2.1,59.88195782702095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,202.6868185409694,202.6868185409694,202.6868185409694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
