endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.8838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.5914,space,0.9403,NAN,,NAN,,0,0,0,0,1,1,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_23.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.6338,NAN,,NAN,,0,1,1,1,1,2,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_20.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.5498,NAN,,NAN,,0,2,2,2,1,3,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_10.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,space,0.3374,NAN,,NAN,,0,3,3,3,1,4,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_7.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.9193,0,0,0,0,1,,,,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_16.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,space,0.5876,NAN,,NAN,,0,5,5,5,1,6,Alex,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_11.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
