PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
5b6c312fa1fda800015fe165,space,18.7363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,18.9644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.6823,space,1.865,NAN,,NAN,,0,0,0,0,1,1,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_14.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.6709,NAN,,NAN,,0,1,1,1,1,2,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_15.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,1.0279,NAN,,NAN,,0,2,2,2,1,3,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_24.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.0377,NAN,,NAN,,0,3,3,3,1,4,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_18.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.9073,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_27.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.9727,NAN,,NAN,,0,5,5,5,1,6,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_22.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,1.4945,NAN,,NAN,,0,6,6,6,1,7,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_9.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,1.2283,NAN,,NAN,,0,7,7,7,1,8,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_6.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.7623,NAN,,NAN,,0,8,8,8,1,9,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_29.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.3989,0,0,0,0,1,1.5153,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_5.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.7787,NAN,,NAN,,0,10,10,10,1,11,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_16.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.6113,NAN,,NAN,,0,11,11,11,1,12,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_11.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.6236,NAN,,NAN,,0,12,12,12,1,13,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_7.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.8379,NAN,,NAN,,0,13,13,13,1,14,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_8.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.7997,0,0,0,0,1,1.482,h,0.6828,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_2.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.5624,NAN,,NAN,,0,15,15,15,1,16,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_30.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.6126,NAN,,NAN,,0,16,16,16,1,17,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_21.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.5792,NAN,,NAN,,0,17,17,17,1,18,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_13.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.6454,NAN,,NAN,,0,18,18,18,1,19,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_20.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.4498,0,0,0,0,1,1.5483,l,0.4828,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Alex,Rej,Participant_Images/5b6c312fa1fda800015fe165/5b6c312fa1fda800015fe165_Images/5b6c312fa1fda800015fe165_Image_17.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
