PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
5c1c74700036a80001193c24,space,18.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,19.7156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.6462,space,0.9353,NAN,,NAN,,0,0,0,0,1,1,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_23.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.8427,NAN,,NAN,,0,1,1,1,1,2,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_10.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,2.0388,NAN,,NAN,,0,2,2,2,1,3,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_24.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.7113,NAN,,NAN,,0,3,3,3,1,4,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_21.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.7829,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_4.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.7607,NAN,,NAN,,0,5,5,5,1,6,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_16.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.9564,NAN,,NAN,,0,6,6,6,1,7,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_28.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.8305,NAN,,NAN,,0,7,7,7,1,8,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_15.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.702,NAN,,NAN,,0,8,8,8,1,9,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_22.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.515,0,0,0,0,1,1.2551,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_20.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.5031,NAN,,NAN,,0,10,10,10,1,11,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_14.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.9369,NAN,,NAN,,0,11,11,11,1,12,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_3.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.9909,NAN,,NAN,,0,12,12,12,1,13,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_7.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.813,NAN,,NAN,,0,13,13,13,1,14,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_6.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6233,0,0,0,0,1,0.8889,,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_29.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.6563,NAN,,NAN,,0,15,15,15,1,16,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_9.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.7847,NAN,,NAN,,0,16,16,16,1,17,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_5.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.6856,NAN,,NAN,,0,17,17,17,1,18,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_26.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.5789,NAN,,NAN,,0,18,18,18,1,19,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_27.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8661,0,0,0,0,1,1.2195,,,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_17.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.4509,NAN,,NAN,,0,20,20,20,1,21,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_18.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.717,NAN,,NAN,,0,21,21,21,1,22,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_2.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.5964,NAN,,NAN,,0,22,22,22,1,23,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_13.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.6712,NAN,,NAN,,0,23,23,23,1,24,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_1.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6827,0,0,0,0,1,1.0234,,,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_11.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.3585,NAN,,NAN,,0,25,25,25,1,26,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_30.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.8568,NAN,,NAN,,0,26,26,26,1,27,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_12.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.6129,NAN,,NAN,,0,27,27,27,1,28,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_19.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.6172,NAN,,NAN,,0,28,28,28,1,29,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_25.jpeg,did not like,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.1476,0,0,0,0,1,1.0613,,,,
,,,,,,,,,1,,5,,0,29,29,29,1,30,Taylor,Rej,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_8.jpeg,did not like,1.661473164,,,,,,,,,,,,,,
,,,,,space,3.4655,space,4.1319,NAN,,NAN,,0,30,30,30,1,31,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_4.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,3.5991,NAN,,NAN,,0,31,31,31,1,32,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_25.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,1.265,NAN,,NAN,,0,32,32,32,1,33,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_18.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.7161,NAN,,NAN,,0,33,33,33,1,34,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_1.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.85,0,0,0,0,1,1.4493,,,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_28.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,1.2319,NAN,,NAN,,0,35,35,35,1,36,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_24.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.8511,NAN,,NAN,,0,36,36,36,1,37,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_30.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,1.032,NAN,,NAN,,0,37,37,37,1,38,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_3.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.8496,NAN,,NAN,,0,38,38,38,1,39,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_11.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.9333,0,0,0,0,1,1.5993,h,0.5662,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Sam,Acc,Participant_Images/5c1c74700036a80001193c24/5c1c74700036a80001193c24_Images/5c1c74700036a80001193c24_Image_20.jpeg,liked,1.672012706,,,,,,,,,,,,,,
