PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
5dcb685070d51c8275d7bd54,space,76.8535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,space,22.1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,space,31.3309,space,13.881,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_10.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,2.2504,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_15.jpeg,liked,4.988446431,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,2.4851,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_2.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,5.517,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_19.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,2.0958,0.0,0.0,0.0,0.0,1.0,,,,,
5dcb685070d51c8275d7bd54,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_28.jpeg,liked,2.455989137,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,2.3354,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_25.jpeg,liked,3.79605092,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,1.9998,NAN,,NAN,,0.0,6.0,6.0,6.0,1.0,7.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_7.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,19.6354,NAN,,NAN,,0.0,7.0,7.0,7.0,1.0,8.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_26.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,space,1.9041,NAN,,NAN,,0.0,8.0,8.0,8.0,1.0,9.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_16.jpeg,liked,3.546495948,,,,,,,,,,,,,,
5dcb685070d51c8275d7bd54,,,,,,,,,,,,,,,,,,,,,,,,s,1.0,space,1.2836,0.0,0.0,0.0,0.0,1.0,2.3379,h,2.8703,,
5dcb685070d51c8275d7bd54,,,,,,,,,NAN,,NAN,,0.0,9.0,9.0,9.0,1.0,10.0,Charlie,Acc,Participant_Images/5dcb685070d51c8275d7bd54/5dcb685070d51c8275d7bd54_Images/5dcb685070d51c8275d7bd54_Image_17.jpeg,liked,1.672012706,,,,,,,,,,,,,,
