PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
5dee8ee31255595293a9906b,space,3.9224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,space,6.3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,space,1.5925,space,0.9883,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_11.jpeg,did not like,3.613205605,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5344,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_28.jpeg,liked,4.988446431,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.6702,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_29.jpeg,liked,3.470791822,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5243,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_27.jpeg,did not like,3.820572462,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,2.0166,0.0,0.0,0.0,0.0,1.0,,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_16.jpeg,liked,2.455989137,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.4835,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_19.jpeg,liked,3.79605092,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5779,NAN,,NAN,,0.0,6.0,6.0,6.0,1.0,7.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_25.jpeg,liked,3.562416326,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.4457,NAN,,NAN,,0.0,7.0,7.0,7.0,1.0,8.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_24.jpeg,did not like,2.843822497,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.4672,NAN,,NAN,,0.0,8.0,8.0,8.0,1.0,9.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_12.jpeg,liked,3.546495948,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,s,1.0,space,6.0795,0.0,0.0,0.0,0.0,1.0,0.962,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,9.0,9.0,9.0,1.0,10.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_5.jpeg,did not like,1.672012706,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.6576,NAN,,NAN,,0.0,10.0,10.0,10.0,1.0,11.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_6.jpeg,liked,4.942172136,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5732,NAN,,NAN,,0.0,11.0,11.0,11.0,1.0,12.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_23.jpeg,liked,2.50187214,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5511,NAN,,NAN,,0.0,12.0,12.0,12.0,1.0,13.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_13.jpeg,did not like,2.071164779,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5755,NAN,,NAN,,0.0,13.0,13.0,13.0,1.0,14.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_26.jpeg,liked,5.336503566,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.6993,0.0,0.0,0.0,0.0,1.0,1.3533,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,14.0,14.0,14.0,1.0,15.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_15.jpeg,did not like,2.642157193,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5496,NAN,,NAN,,0.0,15.0,15.0,15.0,1.0,16.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_4.jpeg,liked,4.456234322,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,1.0837,NAN,,NAN,,0.0,16.0,16.0,16.0,1.0,17.0,Charlie,Neutral,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_1.jpeg,liked,4.438512181,,,,,,,,,,,,,
