endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,2.4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,1.2933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.8788,space,0.8504,NAN,,NAN,,0,0,0,0,1,1,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_16.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.7795,NAN,,NAN,,0,1,1,1,1,2,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_25.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.6336,NAN,,NAN,,0,2,2,2,1,3,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_19.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,space,1.0504,NAN,,NAN,,0,3,3,3,1,4,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_11.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.4041,0,0,0,0,1,,,,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_30.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,space,19.7936,NAN,,NAN,,0,5,5,5,1,6,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_4.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,space,1.3251,NAN,,NAN,,0,6,6,6,1,7,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_20.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.7173,NAN,,NAN,,0,7,7,7,1,8,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_6.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,space,5.58,NAN,,NAN,,0,8,8,8,1,9,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_5.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,2.2998,0,0,0,0,1,,,,,
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_24.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,0.8564,NAN,,NAN,,0,10,10,10,1,11,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_17.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,space,0.6452,NAN,,NAN,,0,11,11,11,1,12,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_12.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,space,0.8212,NAN,,NAN,,0,12,12,12,1,13,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_15.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.7668,NAN,,NAN,,0,13,13,13,1,14,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_7.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.9443,0,0,0,0,1,3.8723,h,2.5117,,
,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_18.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,space,1.1844,NAN,,NAN,,0,15,15,15,1,16,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_27.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,0.7008,NAN,,NAN,,0,16,16,16,1,17,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_2.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.7327,NAN,,NAN,,0,17,17,17,1,18,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_28.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,space,0.8023,NAN,,NAN,,0,18,18,18,1,19,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_21.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.5084,0,0,0,0,1,3.226,,,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_9.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,space,0.7177,NAN,,NAN,,0,20,20,20,1,21,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_26.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.6975,NAN,,NAN,,0,21,21,21,1,22,Alex,Rej,Participant_Images/5f32bc368853aa03df112fc6/5f32bc368853aa03df112fc6_Images/5f32bc368853aa03df112fc6_Image_3.jpeg,liked,4.312468682,,,,,,,,,,,,,,
