PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
5f985596be2ea910b23827ed,space,0.6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,325.8853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,26.5854,space,1.0176,NAN,,NAN,,0,0,0,0,1,1,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_1.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.6671,NAN,,NAN,,0,1,1,1,1,2,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_21.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,,space,1.2849,NAN,,NAN,,0,2,2,2,1,3,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_26.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.718,NAN,,NAN,,0,3,3,3,1,4,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_29.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.1425,space,4.0903,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_9.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,,space,2.2561,NAN,,NAN,,0,5,5,5,1,6,Charlie,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_7.jpeg,liked,3.79605092,,,,,,,,,,,,
