PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
60bff9298f56d55c8ecd9adf,space,10.3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,space,12.7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,space,2.0155,space,1.0666,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_25.jpeg,liked,3.613205605,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,1.4257,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_28.jpeg,liked,4.988446431,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,0.9739,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_30.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,0.4935,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_18.jpeg,liked,3.820572462,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,1.5612,0.0,0.0,0.0,0.0,1.0,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_15.jpeg,liked,2.455989137,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,0.772,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_20.jpeg,liked,3.79605092,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,0.7152,NAN,,NAN,,0.0,6.0,6.0,6.0,1.0,7.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_1.jpeg,liked,3.562416326,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,0.6789,NAN,,NAN,,0.0,7.0,7.0,7.0,1.0,8.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_23.jpeg,liked,2.843822497,,,,,,,,,,,,,,
60bff9298f56d55c8ecd9adf,,,,,,,space,0.5207,NAN,,NAN,,0.0,8.0,8.0,8.0,1.0,9.0,Alex,Acc,Participant_Images/60bff9298f56d55c8ecd9adf/60bff9298f56d55c8ecd9adf_Images/60bff9298f56d55c8ecd9adf_Image_11.jpeg,liked,3.546495948,,,,,,,,,,,,,,
