PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
60dbf4d94a3b5564b68881e8,space,8.8753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,space,11.6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,space,2.3543,space,1.5584,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_1.jpeg,did not like,3.613205605,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,1.4377,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_9.jpeg,did not like,4.988446431,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.495,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_29.jpeg,did not like,3.470791822,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.721,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_21.jpeg,liked,3.820572462,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,3.1104,0.0,0.0,0.0,0.0,1.0,,,
60dbf4d94a3b5564b68881e8,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_30.jpeg,did not like,2.455989137,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.3429,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_11.jpeg,did not like,3.79605092,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.8851,NAN,,NAN,,0.0,6.0,6.0,6.0,1.0,7.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_10.jpeg,did not like,3.562416326,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.6098,NAN,,NAN,,0.0,7.0,7.0,7.0,1.0,8.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_6.jpeg,did not like,2.843822497,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.4439,NAN,,NAN,,0.0,8.0,8.0,8.0,1.0,9.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_25.jpeg,did not like,3.546495948,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.8221,0.0,0.0,0.0,0.0,1.0,0.5361,,
60dbf4d94a3b5564b68881e8,,,,,,,,,NAN,,NAN,,0.0,9.0,9.0,9.0,1.0,10.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_4.jpeg,liked,1.672012706,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.8413,NAN,,NAN,,0.0,10.0,10.0,10.0,1.0,11.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_7.jpeg,did not like,4.942172136,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.4944,NAN,,NAN,,0.0,11.0,11.0,11.0,1.0,12.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_19.jpeg,liked,2.50187214,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.3849,NAN,,NAN,,0.0,12.0,12.0,12.0,1.0,13.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_22.jpeg,did not like,2.071164779,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.5681,NAN,,NAN,,0.0,13.0,13.0,13.0,1.0,14.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_28.jpeg,did not like,5.336503566,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.869,0.0,0.0,0.0,0.0,1.0,1.1904,,
60dbf4d94a3b5564b68881e8,,,,,,,,,NAN,,NAN,,0.0,14.0,14.0,14.0,1.0,15.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_5.jpeg,did not like,2.642157193,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.6792,NAN,,NAN,,0.0,15.0,15.0,15.0,1.0,16.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_24.jpeg,did not like,4.456234322,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.3171,NAN,,NAN,,0.0,16.0,16.0,16.0,1.0,17.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_27.jpeg,did not like,4.438512181,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.3327,NAN,,NAN,,0.0,17.0,17.0,17.0,1.0,18.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_18.jpeg,did not like,2.682944783,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.3246,NAN,,NAN,,0.0,18.0,18.0,18.0,1.0,19.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_23.jpeg,did not like,4.51984296,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.6175,0.0,0.0,0.0,0.0,1.0,0.4059,,
60dbf4d94a3b5564b68881e8,,,,,,,,,NAN,,NAN,,0.0,19.0,19.0,19.0,1.0,20.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_26.jpeg,liked,3.195382774,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.7322,NAN,,NAN,,0.0,20.0,20.0,20.0,1.0,21.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_12.jpeg,did not like,1.779333479,,,,,,,,,,,,
60dbf4d94a3b5564b68881e8,,,,,,,space,0.483,NAN,,NAN,,0.0,21.0,21.0,21.0,1.0,22.0,Charlie,Rej,Participant_Images/60dbf4d94a3b5564b68881e8/60dbf4d94a3b5564b68881e8_Images/60dbf4d94a3b5564b68881e8_Image_20.jpeg,liked,4.312468682,,,,,,,,,,,,
