endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,12.3814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,16.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.2575,space,1.3446,NAN,,NAN,,0,0,0,0,1,1,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_2.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.8491,NAN,,NAN,,0,1,1,1,1,2,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_24.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,space,1.3687,NAN,,NAN,,0,2,2,2,1,3,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_19.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,space,1.2285,NAN,,NAN,,0,3,3,3,1,4,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_14.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,2.7839,0,0,0,0,1,,,,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_20.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,space,1.3366,NAN,,NAN,,0,5,5,5,1,6,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_22.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.8479,NAN,,NAN,,0,6,6,6,1,7,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_11.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.725,NAN,,NAN,,0,7,7,7,1,8,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_13.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.7231,NAN,,NAN,,0,8,8,8,1,9,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_3.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.955,0,0,0,0,1,2.1757,,,,
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_15.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,space,0.6606,NAN,,NAN,,0,10,10,10,1,11,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_9.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,space,0.8335,NAN,,NAN,,0,11,11,11,1,12,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_18.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,space,0.5748,NAN,,NAN,,0,12,12,12,1,13,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_1.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.6382,NAN,,NAN,,0,13,13,13,1,14,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_30.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.5,0,0,0,0,1,1.646,,,,
,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Taylor,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_8.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
