PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
60fd56db5fe37ebeca00bc83,space,58.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,20.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.594,space,1.683,NAN,,NAN,,0,0,0,0,1,1,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_6.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.089,NAN,,NAN,,0,1,1,1,1,2,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_9.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.835,NAN,,NAN,,0,2,2,2,1,3,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_27.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.239,NAN,,NAN,,0,3,3,3,1,4,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_25.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,1.962,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_10.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.719,NAN,,NAN,,0,5,5,5,1,6,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_19.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,1.088,NAN,,NAN,,0,6,6,6,1,7,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_13.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.475,NAN,,NAN,,0,7,7,7,1,8,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_30.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,1.087,NAN,,NAN,,0,8,8,8,1,9,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_26.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.618,0,0,0,0,1,2.647,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_23.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,2.991,NAN,,NAN,,0,10,10,10,1,11,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_15.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.888,NAN,,NAN,,0,11,11,11,1,12,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_18.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.57,NAN,,NAN,,0,12,12,12,1,13,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_12.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.668,NAN,,NAN,,0,13,13,13,1,14,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_11.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.974,0,0,0,0,1,1.134,l,2.013,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_2.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.509,NAN,,NAN,,0,15,15,15,1,16,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_24.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.401,NAN,,NAN,,0,16,16,16,1,17,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_16.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.904,NAN,,NAN,,0,17,17,17,1,18,Riley,Neutral,Participant_Images/60fd56db5fe37ebeca00bc83/60fd56db5fe37ebeca00bc83_Images/60fd56db5fe37ebeca00bc83_Image_14.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
