PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6100652c5329da76a962cdb3,space,14.5799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,69.4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.2537,space,1.18,NAN,,NAN,,0,0,0,0,1,1,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_23.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.3163,NAN,,NAN,,0,1,1,1,1,2,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_18.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,1.5655,NAN,,NAN,,0,2,2,2,1,3,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_16.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.0269,NAN,,NAN,,0,3,3,3,1,4,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_29.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,6.3081,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_22.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,1.9825,NAN,,NAN,,0,5,5,5,1,6,Charlie,Rej,Participant_Images/6100652c5329da76a962cdb3/6100652c5329da76a962cdb3_Images/6100652c5329da76a962cdb3_Image_27.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
