PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
610247cdbc9b348fd6601cb3,space,23.4296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,26.3497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.8393,space,1.7502,NAN,,NAN,,0,0,0,0,1,1,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_11.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,2.0599,NAN,,NAN,,0,1,1,1,1,2,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_9.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,2.5022,NAN,,NAN,,0,2,2,2,1,3,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_3.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,5.1681,NAN,,NAN,,0,3,3,3,1,4,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_28.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.5644,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_16.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.7593,NAN,,NAN,,0,5,5,5,1,6,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_27.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.6864,NAN,,NAN,,0,6,6,6,1,7,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_26.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,1.2608,NAN,,NAN,,0,7,7,7,1,8,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_5.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.6836,NAN,,NAN,,0,8,8,8,1,9,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_29.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.003,0,0,0,0,1,1.5665,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_17.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.7599,NAN,,NAN,,0,10,10,10,1,11,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_4.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.7294,NAN,,NAN,,0,11,11,11,1,12,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_7.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.5789,NAN,,NAN,,0,12,12,12,1,13,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_21.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.7203,NAN,,NAN,,0,13,13,13,1,14,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_13.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.7516,0,0,0,0,1,1.4296,,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_2.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.7127,NAN,,NAN,,0,15,15,15,1,16,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_18.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.7723,NAN,,NAN,,0,16,16,16,1,17,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_22.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.8375,NAN,,NAN,,0,17,17,17,1,18,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_8.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.7775,NAN,,NAN,,0,18,18,18,1,19,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_14.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.1827,0,0,0,0,1,1.2325,h,2.0157,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_25.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,1.1285,NAN,,NAN,,0,20,20,20,1,21,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_6.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,1.0739,NAN,,NAN,,0,21,21,21,1,22,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_20.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.6023,NAN,,NAN,,0,22,22,22,1,23,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_1.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.6578,NAN,,NAN,,0,23,23,23,1,24,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_10.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.1184,0,0,0,0,1,1.3648,h,1.2319,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_23.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.746,NAN,,NAN,,0,25,25,25,1,26,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_24.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.596,NAN,,NAN,,0,26,26,26,1,27,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_19.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,1.0074,NAN,,NAN,,0,27,27,27,1,28,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_15.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.4775,NAN,,NAN,,0,28,28,28,1,29,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_30.jpeg,did not like,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.1898,0,0,0,0,1,1.3881,h,1.1108,,
,,,,,,,,,2,,4,,0,29,29,29,1,30,Sam,Rej,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_12.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,2.4067,space,0.4124,NAN,,NAN,,0,30,30,30,1,31,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.4382,NAN,,NAN,,0,31,31,31,1,32,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_21.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,1.237,NAN,,NAN,,0,32,32,32,1,33,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_27.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.8213,NAN,,NAN,,0,33,33,33,1,34,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_16.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.625,0,0,0,0,1,1.4351,h,1.4614,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_13.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.6834,NAN,,NAN,,0,35,35,35,1,36,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_22.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.5432,NAN,,NAN,,0,36,36,36,1,37,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_1.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.5876,NAN,,NAN,,0,37,37,37,1,38,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_15.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,1.304,NAN,,NAN,,0,38,38,38,1,39,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_5.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.9514,0,0,0,0,1,1.4435,h,1.1339,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_14.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.6432,NAN,,NAN,,0,40,40,40,1,41,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_18.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,1.0216,NAN,,NAN,,0,41,41,41,1,42,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_30.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.4726,NAN,,NAN,,0,42,42,42,1,43,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_17.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.6555,NAN,,NAN,,0,43,43,43,1,44,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_24.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.8236,0,0,0,0,1,1.2607,h,1.1944,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.7795,NAN,,NAN,,0,45,45,45,1,46,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_3.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,1.2922,NAN,,NAN,,0,46,46,46,1,47,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_12.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,1.3104,NAN,,NAN,,0,47,47,47,1,48,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_19.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,1.0909,NAN,,NAN,,0,48,48,48,1,49,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_28.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.5209,0,0,0,0,1,1.6077,h,1.2977,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_2.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.5367,NAN,,NAN,,0,50,50,50,1,51,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_29.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.4716,NAN,,NAN,,0,51,51,51,1,52,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_7.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.9411,NAN,,NAN,,0,52,52,52,1,53,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_26.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.508,NAN,,NAN,,0,53,53,53,1,54,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_20.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.5992,0,0,0,0,1,1.1827,h,0.5498,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_9.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.7363,NAN,,NAN,,0,55,55,55,1,56,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_11.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.5865,NAN,,NAN,,0,56,56,56,1,57,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_8.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.4056,NAN,,NAN,,0,57,57,57,1,58,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_10.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.6629,NAN,,NAN,,0,58,58,58,1,59,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_4.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.7866,0,0,0,0,1,1.5974,h,1.6011,,
,,,,,,,,,4,,6,,0,59,59,59,1,60,Alex,Acc,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_25.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,3.3952,space,1.0034,NAN,,NAN,,0,60,60,60,1,61,Riley,Neutral,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_17.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.5828,NAN,,NAN,,0,61,61,61,1,62,Riley,Neutral,Participant_Images/610247cdbc9b348fd6601cb3/610247cdbc9b348fd6601cb3_Images/610247cdbc9b348fd6601cb3_Image_30.jpeg,liked,4.988446431,,,,,,,,,,,,,,
