PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
610367ad785ce86ceb8d201c,space,12.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,11.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.375,space,0.776,NAN,,NAN,,0,0,0,0,1,1,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_11.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,4.606,NAN,,NAN,,0,1,1,1,1,2,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_17.jpeg,did not like,4.988446431,,,,,,,,,,,,
,,,,,,,space,3.983,NAN,,NAN,,0,2,2,2,1,3,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_23.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.688,NAN,,NAN,,0,3,3,3,1,4,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_19.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,31.762,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_22.jpeg,did not like,2.455989137,,,,,,,,,,,,
,,,,,,,space,1.703,NAN,,NAN,,0,5,5,5,1,6,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_14.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,2.287,NAN,,NAN,,0,6,6,6,1,7,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_5.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,,space,0.938,NAN,,NAN,,0,7,7,7,1,8,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_4.jpeg,did not like,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.07,NAN,,NAN,,0,8,8,8,1,9,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_10.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.659,0,0,0,0,1,2.084,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_28.jpeg,did not like,1.672012706,,,,,,,,,,,,
,,,,,,,space,1.125,NAN,,NAN,,0,10,10,10,1,11,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_16.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,0.37,NAN,,NAN,,0,11,11,11,1,12,Taylor,Rej,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_27.jpeg,did not like,2.50187214,,,,,,,,,,,,
