endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
space,26.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,30.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.1256,space,0.9209,NAN,,NAN,,0,0,0,0,1,1,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_20.jpeg,did not like,3.613205605,,,,,,,,,,,,,
,,,,,,space,0.6399,NAN,,NAN,,0,1,1,1,1,2,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_18.jpeg,did not like,4.988446431,,,,,,,,,,,,,
,,,,,,space,0.8244,NAN,,NAN,,0,2,2,2,1,3,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_12.jpeg,did not like,3.470791822,,,,,,,,,,,,,
,,,,,,space,0.5512,NAN,,NAN,,0,3,3,3,1,4,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_24.jpeg,did not like,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,4.0916,0,0,0,0,1,,,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_26.jpeg,did not like,2.455989137,,,,,,,,,,,,,
,,,,,,space,0.5331,NAN,,NAN,,0,5,5,5,1,6,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_4.jpeg,did not like,3.79605092,,,,,,,,,,,,,
,,,,,,space,0.5074,NAN,,NAN,,0,6,6,6,1,7,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_21.jpeg,liked,3.562416326,,,,,,,,,,,,,
,,,,,,space,0.8407,NAN,,NAN,,0,7,7,7,1,8,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_9.jpeg,did not like,2.843822497,,,,,,,,,,,,,
,,,,,,space,0.5401,NAN,,NAN,,0,8,8,8,1,9,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_17.jpeg,liked,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.6852,0,0,0,0,1,1.7134,,,
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_25.jpeg,did not like,1.672012706,,,,,,,,,,,,,
,,,,,,space,0.4897,NAN,,NAN,,0,10,10,10,1,11,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_6.jpeg,did not like,4.942172136,,,,,,,,,,,,,
,,,,,,space,1.0695,NAN,,NAN,,0,11,11,11,1,12,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_15.jpeg,liked,2.50187214,,,,,,,,,,,,,
,,,,,,space,0.5014,NAN,,NAN,,0,12,12,12,1,13,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_16.jpeg,did not like,2.071164779,,,,,,,,,,,,,
,,,,,,space,0.6342,NAN,,NAN,,0,13,13,13,1,14,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_14.jpeg,did not like,5.336503566,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.8315,0,0,0,0,1,1.5637,,,
,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_13.jpeg,liked,2.642157193,,,,,,,,,,,,,
,,,,,,space,0.6761,NAN,,NAN,,0,15,15,15,1,16,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_1.jpeg,did not like,4.456234322,,,,,,,,,,,,,
,,,,,,space,0.5663,NAN,,NAN,,0,16,16,16,1,17,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_7.jpeg,liked,4.438512181,,,,,,,,,,,,,
,,,,,,space,0.7323,NAN,,NAN,,0,17,17,17,1,18,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_27.jpeg,liked,2.682944783,,,,,,,,,,,,,
,,,,,,space,0.5328,NAN,,NAN,,0,18,18,18,1,19,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_5.jpeg,did not like,4.51984296,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5634,0,0,0,0,1,0.8732,,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_23.jpeg,did not like,3.195382774,,,,,,,,,,,,,
,,,,,,space,1.0558,NAN,,NAN,,0,20,20,20,1,21,Riley,Rej,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_28.jpeg,did not like,1.779333479,,,,,,,,,,,,,
