PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
6116f60ae8f48f7d1244e8d3,space,13.3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,10.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.0835,space,2.7672,NAN,,NAN,,0,0,0,0,1,1,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_12.jpeg,did not like,3.613205605,,,,,,,,,,,,,
,,,,,,,space,0.814,NAN,,NAN,,0,1,1,1,1,2,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_30.jpeg,did not like,4.988446431,,,,,,,,,,,,,
,,,,,,,space,3.9216,NAN,,NAN,,0,2,2,2,1,3,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_26.jpeg,did not like,3.470791822,,,,,,,,,,,,,
,,,,,,,space,1.3846,NAN,,NAN,,0,3,3,3,1,4,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_4.jpeg,did not like,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.8581,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_18.jpeg,liked,2.455989137,,,,,,,,,,,,,
,,,,,,,space,2.3626,NAN,,NAN,,0,5,5,5,1,6,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_13.jpeg,did not like,3.79605092,,,,,,,,,,,,,
,,,,,,,space,0.7416,NAN,,NAN,,0,6,6,6,1,7,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_25.jpeg,did not like,3.562416326,,,,,,,,,,,,,
,,,,,,,space,0.8803,NAN,,NAN,,0,7,7,7,1,8,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_17.jpeg,liked,2.843822497,,,,,,,,,,,,,
,,,,,,,space,0.4279,NAN,,NAN,,0,8,8,8,1,9,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_23.jpeg,did not like,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.9016,0,0,0,0,1,3.9499,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_27.jpeg,did not like,1.672012706,,,,,,,,,,,,,
,,,,,,,space,0.6204,NAN,,NAN,,0,10,10,10,1,11,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_29.jpeg,did not like,4.942172136,,,,,,,,,,,,,
,,,,,,,space,0.5514,NAN,,NAN,,0,11,11,11,1,12,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_21.jpeg,liked,2.50187214,,,,,,,,,,,,,
,,,,,,,space,0.4503,NAN,,NAN,,0,12,12,12,1,13,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_28.jpeg,liked,2.071164779,,,,,,,,,,,,,
,,,,,,,space,1.8343,NAN,,NAN,,0,13,13,13,1,14,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_1.jpeg,liked,5.336503566,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.7063,0,0,0,0,1,1.6682,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_14.jpeg,liked,2.642157193,,,,,,,,,,,,,
,,,,,,,space,0.663,NAN,,NAN,,0,15,15,15,1,16,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_9.jpeg,did not like,4.456234322,,,,,,,,,,,,,
,,,,,,,space,0.5055,NAN,,NAN,,0,16,16,16,1,17,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_11.jpeg,did not like,4.438512181,,,,,,,,,,,,,
,,,,,,,space,0.4264,NAN,,NAN,,0,17,17,17,1,18,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_8.jpeg,did not like,2.682944783,,,,,,,,,,,,,
,,,,,,,space,0.7125,NAN,,NAN,,0,18,18,18,1,19,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_19.jpeg,did not like,4.51984296,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.7204,0,0,0,0,1,0.6089,,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_22.jpeg,liked,3.195382774,,,,,,,,,,,,,
,,,,,,,space,0.524,NAN,,NAN,,0,20,20,20,1,21,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_7.jpeg,did not like,1.779333479,,,,,,,,,,,,,
,,,,,,,space,5.325,NAN,,NAN,,0,21,21,21,1,22,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_16.jpeg,did not like,4.312468682,,,,,,,,,,,,,
,,,,,,,space,0.6024,NAN,,NAN,,0,22,22,22,1,23,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_6.jpeg,did not like,4.940433059,,,,,,,,,,,,,
,,,,,,,space,0.56,NAN,,NAN,,0,23,23,23,1,24,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_24.jpeg,liked,2.7105123,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6389,0,0,0,0,1,0.964,,,
