endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
space,6.1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.6765,space,0.8664,NAN,,NAN,,0,0,0,0,1,1,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,space,0.9256,NAN,,NAN,,0,1,1,1,1,2,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_26.jpeg,did not like,4.988446431,,,,,,,,,,,,
,,,,,,space,0.5179,NAN,,NAN,,0,2,2,2,1,3,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_14.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,space,0.5256,NAN,,NAN,,0,3,3,3,1,4,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_23.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,3.2491,space,0.8557,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_21.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,space,0.9289,NAN,,NAN,,0,5,5,5,1,6,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_24.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,space,0.8004,NAN,,NAN,,0,6,6,6,1,7,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_1.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,space,1.2313,NAN,,NAN,,0,7,7,7,1,8,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_2.jpeg,did not like,2.843822497,,,,,,,,,,,,
,,,,,,space,0.4605,NAN,,NAN,,0,8,8,8,1,9,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_7.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.6135,space,1.1156,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_28.jpeg,liked,1.672012706,,,,,,,,,,,,
,,,,,,space,0.7018,NAN,,NAN,,0,10,10,10,1,11,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_12.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,space,0.757,NAN,,NAN,,0,11,11,11,1,12,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_4.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,space,0.6826,NAN,,NAN,,0,12,12,12,1,13,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_20.jpeg,liked,2.071164779,,,,,,,,,,,,
,,,,,,space,0.9135,NAN,,NAN,,0,13,13,13,1,14,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_13.jpeg,did not like,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.5075,space,4.9173,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_19.jpeg,did not like,2.642157193,,,,,,,,,,,,
,,,,,,space,1.5642,NAN,,NAN,,0,15,15,15,1,16,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_18.jpeg,did not like,4.456234322,,,,,,,,,,,,
,,,,,,space,0.7043,NAN,,NAN,,0,16,16,16,1,17,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_22.jpeg,did not like,4.438512181,,,,,,,,,,,,
,,,,,,space,0.5462,NAN,,NAN,,0,17,17,17,1,18,Alex,Neutral,Participant_Images/61338374ecef87bfdfd1c7bb/61338374ecef87bfdfd1c7bb_Images/61338374ecef87bfdfd1c7bb_Image_15.jpeg,did not like,2.682944783,,,,,,,,,,,,
