PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
615a084387075364a7462335,space,13.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,16.8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.3108,space,1.0804,NAN,,NAN,,0,0,0,0,1,1,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_16.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,2.0366,NAN,,NAN,,0,1,1,1,1,2,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_23.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.7259,NAN,,NAN,,0,2,2,2,1,3,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_20.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.2614,NAN,,NAN,,0,3,3,3,1,4,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_22.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,3.9244,,space,1.5197,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_17.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,1.3498,NAN,,NAN,,0,5,5,5,1,6,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_28.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,1.139,NAN,,NAN,,0,6,6,6,1,7,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_19.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,1.0459,NAN,,NAN,,0,7,7,7,1,8,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_25.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.7955,NAN,,NAN,,0,8,8,8,1,9,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_7.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.8807,h,space,0.8613,0,0,0,0,1,1.4553,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_12.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.8057,NAN,,NAN,,0,10,10,10,1,11,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_5.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,2.0517,NAN,,NAN,,0,11,11,11,1,12,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_9.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,1.8836,NAN,,NAN,,0,12,12,12,1,13,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_24.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,2.5393,NAN,,NAN,,0,13,13,13,1,14,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_2.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.26,,space,1.2716,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_14.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,1.3263,NAN,,NAN,,0,15,15,15,1,16,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_29.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,1.7831,NAN,,NAN,,0,16,16,16,1,17,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_13.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,1.5042,NAN,,NAN,,0,17,17,17,1,18,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_15.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.973,NAN,,NAN,,0,18,18,18,1,19,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_26.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.2104,,space,1.056,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_21.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,1.0871,NAN,,NAN,,0,20,20,20,1,21,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_8.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.9389,NAN,,NAN,,0,21,21,21,1,22,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_10.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,1.9069,NAN,,NAN,,0,22,22,22,1,23,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_6.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,2.2504,NAN,,NAN,,0,23,23,23,1,24,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_18.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.256,,space,1.0999,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_27.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,2.0809,NAN,,NAN,,0,25,25,25,1,26,Taylor,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_1.jpeg,liked,4.106391878,,,,,,,,,,,,,,
