endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.9589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,10.3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.9192,space,3.165,NAN,,NAN,,0,0,0,0,1,1,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_4.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,space,1.1291,NAN,,NAN,,0,1,1,1,1,2,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_25.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,1.4997,NAN,,NAN,,0,2,2,2,1,3,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_5.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,space,4.2323,NAN,,NAN,,0,3,3,3,1,4,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_11.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,1.9843,0,0,0,0,1,,,,,
,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_6.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,space,4.1359,NAN,,NAN,,0,5,5,5,1,6,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_27.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,space,2.3794,NAN,,NAN,,0,6,6,6,1,7,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_3.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.5075,NAN,,NAN,,0,7,7,7,1,8,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_20.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,space,2.0292,NAN,,NAN,,0,8,8,8,1,9,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_24.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.6481,0,0,0,0,1,2.943,h,2.8601,,
,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_15.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,2.3567,NAN,,NAN,,0,10,10,10,1,11,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_18.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,space,1.1059,NAN,,NAN,,0,11,11,11,1,12,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_29.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,space,0.8209,NAN,,NAN,,0,12,12,12,1,13,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_19.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.8708,NAN,,NAN,,0,13,13,13,1,14,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_7.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.5203,0,0,0,0,1,1.7069,h,2.0887,,
,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_26.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,space,0.053,NAN,,NAN,,0,15,15,15,1,16,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_10.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,0.0917,NAN,,NAN,,0,16,16,16,1,17,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_8.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.8531,NAN,,NAN,,0,17,17,17,1,18,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_1.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,space,2.0295,NAN,,NAN,,0,18,18,18,1,19,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_16.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.1707,0,0,0,0,1,2.4598,h,1.515,,
,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_9.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,space,0.4698,NAN,,NAN,,0,20,20,20,1,21,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_17.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.6036,NAN,,NAN,,0,21,21,21,1,22,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_28.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,space,0.5917,NAN,,NAN,,0,22,22,22,1,23,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_13.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,space,0.88,NAN,,NAN,,0,23,23,23,1,24,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_2.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.2032,0,0,0,0,1,1.8568,h,1.2414,,
,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_22.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,space,2.3236,NAN,,NAN,,0,25,25,25,1,26,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_23.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,space,3.6011,NAN,,NAN,,0,26,26,26,1,27,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_14.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,space,1.8069,NAN,,NAN,,0,27,27,27,1,28,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_30.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,space,1.0433,NAN,,NAN,,0,28,28,28,1,29,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_12.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.659,0,0,0,0,1,1.2413,h,0.7932,,
,,,,,,,,3,,7,,0,29,29,29,1,30,Alex,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_21.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,space,1.6489,space,0.7088,NAN,,NAN,,0,30,30,30,1,31,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_2.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,2.5071,NAN,,NAN,,0,31,31,31,1,32,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_26.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.7728,NAN,,NAN,,0,32,32,32,1,33,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_9.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,space,2.2228,NAN,,NAN,,0,33,33,33,1,34,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_29.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.1209,0,0,0,0,1,1.3703,h,0.5522,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_24.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,space,0.8759,NAN,,NAN,,0,35,35,35,1,36,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_23.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,space,2.0614,NAN,,NAN,,0,36,36,36,1,37,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_27.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,space,2.9792,NAN,,NAN,,0,37,37,37,1,38,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_21.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.525,NAN,,NAN,,0,38,38,38,1,39,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_16.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.8551,0,0,0,0,1,1.8025,h,0.5847,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_18.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,space,2.8256,NAN,,NAN,,0,40,40,40,1,41,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_20.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,space,0.2344,NAN,,NAN,,0,41,41,41,1,42,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_10.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,space,1.9515,NAN,,NAN,,0,42,42,42,1,43,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_15.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,space,2.8599,NAN,,NAN,,0,43,43,43,1,44,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_8.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,2.0732,0,0,0,0,1,3.7797,h,1.1201,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_22.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,space,1.6564,NAN,,NAN,,0,45,45,45,1,46,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_14.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,2.18,NAN,,NAN,,0,46,46,46,1,47,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_12.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.8095,NAN,,NAN,,0,47,47,47,1,48,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_4.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,space,0.5571,NAN,,NAN,,0,48,48,48,1,49,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_6.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.3616,0,0,0,0,1,2.1616,h,0.9904,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_28.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,space,0.3891,NAN,,NAN,,0,50,50,50,1,51,Riley,Acc,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_5.jpeg,liked,1.779333479,,,,,,,,,,,,,,
