PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6321d7404a95a42175d1243d,space,1.8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,12.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,1.9244,space,0.9398,NAN,,NAN,,0,0,0,0,1,1,Riley,Acc,Participant_Images/6321d7404a95a42175d1243d/6321d7404a95a42175d1243d_Images/6321d7404a95a42175d1243d_Image_24.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.908,NAN,,NAN,,0,1,1,1,1,2,Riley,Acc,Participant_Images/6321d7404a95a42175d1243d/6321d7404a95a42175d1243d_Images/6321d7404a95a42175d1243d_Image_22.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.7415,NAN,,NAN,,0,2,2,2,1,3,Riley,Acc,Participant_Images/6321d7404a95a42175d1243d/6321d7404a95a42175d1243d_Images/6321d7404a95a42175d1243d_Image_15.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.6,NAN,,NAN,,0,3,3,3,1,4,Riley,Acc,Participant_Images/6321d7404a95a42175d1243d/6321d7404a95a42175d1243d_Images/6321d7404a95a42175d1243d_Image_30.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,2.6269,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Riley,Acc,Participant_Images/6321d7404a95a42175d1243d/6321d7404a95a42175d1243d_Images/6321d7404a95a42175d1243d_Image_19.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,2.6071,NAN,,NAN,,0,5,5,5,1,6,Riley,Acc,Participant_Images/6321d7404a95a42175d1243d/6321d7404a95a42175d1243d_Images/6321d7404a95a42175d1243d_Image_14.jpeg,liked,3.79605092,,,,,,,,,,,,,,
