PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63235c5bf70d8e4f79b205cd,space,5.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,space,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,space,2.06,space,0.82,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Riley,Rej,Participant_Images/63235c5bf70d8e4f79b205cd/63235c5bf70d8e4f79b205cd_Images/63235c5bf70d8e4f79b205cd_Image_9.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,space,1.111,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Riley,Rej,Participant_Images/63235c5bf70d8e4f79b205cd/63235c5bf70d8e4f79b205cd_Images/63235c5bf70d8e4f79b205cd_Image_6.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,space,0.903,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Riley,Rej,Participant_Images/63235c5bf70d8e4f79b205cd/63235c5bf70d8e4f79b205cd_Images/63235c5bf70d8e4f79b205cd_Image_28.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,space,1.095,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Riley,Rej,Participant_Images/63235c5bf70d8e4f79b205cd/63235c5bf70d8e4f79b205cd_Images/63235c5bf70d8e4f79b205cd_Image_13.jpeg,liked,3.820572462,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,0.102,0.0,0.0,0.0,0.0,1.0,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Riley,Rej,Participant_Images/63235c5bf70d8e4f79b205cd/63235c5bf70d8e4f79b205cd_Images/63235c5bf70d8e4f79b205cd_Image_1.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
63235c5bf70d8e4f79b205cd,,,,,,,space,0.947,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Riley,Rej,Participant_Images/63235c5bf70d8e4f79b205cd/63235c5bf70d8e4f79b205cd_Images/63235c5bf70d8e4f79b205cd_Image_25.jpeg,liked,3.79605092,,,,,,,,,,,,,,
