PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63d1b0363f9bd5a6062dfb1c,space,7.7062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,space,58.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,space,3.6546,space,1.2927,NAN,,NAN,,0.0,0.0,0.0,0.0,1.0,1.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_2.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,1.1436,NAN,,NAN,,0.0,1.0,1.0,1.0,1.0,2.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_20.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,1.3857,NAN,,NAN,,0.0,2.0,2.0,2.0,1.0,3.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_11.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,6.9124,NAN,,NAN,,0.0,3.0,3.0,3.0,1.0,4.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_25.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,3.889,0.0,0.0,0.0,0.0,1.0,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,NAN,,NAN,,0.0,4.0,4.0,4.0,1.0,5.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_12.jpeg,liked,2.455989137,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.7703,NAN,,NAN,,0.0,5.0,5.0,5.0,1.0,6.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_3.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.7762,NAN,,NAN,,0.0,6.0,6.0,6.0,1.0,7.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_8.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,1.2874,NAN,,NAN,,0.0,7.0,7.0,7.0,1.0,8.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_30.jpeg,liked,2.843822497,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.3802,NAN,,NAN,,0.0,8.0,8.0,8.0,1.0,9.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_15.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,,,,,,,,,,,,,,,,s,1.0,space,1.2323,0.0,0.0,0.0,0.0,1.0,1.5893,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,NAN,,NAN,,0.0,9.0,9.0,9.0,1.0,10.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_13.jpeg,liked,1.672012706,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,1.1934,NAN,,NAN,,0.0,10.0,10.0,10.0,1.0,11.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.5932,NAN,,NAN,,0.0,11.0,11.0,11.0,1.0,12.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_19.jpeg,liked,2.50187214,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.5638,NAN,,NAN,,0.0,12.0,12.0,12.0,1.0,13.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_7.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.4027,NAN,,NAN,,0.0,13.0,13.0,13.0,1.0,14.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_16.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,,,,,,,,,,,,,,,,s,1.0,space,1.0273,0.0,0.0,0.0,0.0,1.0,3.096,h,1.4946,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,NAN,,NAN,,0.0,14.0,14.0,14.0,1.0,15.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_28.jpeg,liked,2.642157193,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.5513,NAN,,NAN,,0.0,15.0,15.0,15.0,1.0,16.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_4.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.5582,NAN,,NAN,,0.0,16.0,16.0,16.0,1.0,17.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_18.jpeg,liked,4.438512181,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.7817,NAN,,NAN,,0.0,17.0,17.0,17.0,1.0,18.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_1.jpeg,liked,2.682944783,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.4345,NAN,,NAN,,0.0,18.0,18.0,18.0,1.0,19.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_24.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,,,,,,,,,,,,,,,,,999.0,space,1.1335,0.0,0.0,0.0,0.0,1.0,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,,,NAN,,NAN,,0.0,19.0,19.0,19.0,1.0,20.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_22.jpeg,liked,3.195382774,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,0.4782,NAN,,NAN,,0.0,20.0,20.0,20.0,1.0,21.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_26.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
63d1b0363f9bd5a6062dfb1c,,,,,,,space,1.076,NAN,,NAN,,0.0,21.0,21.0,21.0,1.0,22.0,Sam,Neutral,Participant_Images/63d1b0363f9bd5a6062dfb1c/63d1b0363f9bd5a6062dfb1c_Images/63d1b0363f9bd5a6062dfb1c_Image_23.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
