PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63d5e3bf4a739d1158b9ce64,space,3.9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,9.7094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,4.8878,space,1.6236,NAN,,NAN,,0,0,0,0,1,1,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_16.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.105,NAN,,NAN,,0,1,1,1,1,2,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_10.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.7365,NAN,,NAN,,0,2,2,2,1,3,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_30.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.7859,NAN,,NAN,,0,3,3,3,1,4,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_4.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,2.9903,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_21.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.7299,NAN,,NAN,,0,5,5,5,1,6,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_23.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,1.423700001,NAN,,NAN,,0,6,6,6,1,7,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_18.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.567900001,NAN,,NAN,,0,7,7,7,1,8,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_14.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,1.646,NAN,,NAN,,0,8,8,8,1,9,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_11.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8844,0,0,0,0,1,1.3416,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_27.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,1.5009,NAN,,NAN,,0,10,10,10,1,11,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_19.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,1.155,NAN,,NAN,,0,11,11,11,1,12,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_15.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.7502,NAN,,NAN,,0,12,12,12,1,13,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_17.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.847700001,NAN,,NAN,,0,13,13,13,1,14,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_3.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.0668,0,0,0,0,1,1.6798,,,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_20.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.8338,NAN,,NAN,,0,15,15,15,1,16,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_6.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.621599999,NAN,,NAN,,0,16,16,16,1,17,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_12.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.576099999,NAN,,NAN,,0,17,17,17,1,18,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_9.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.8597,NAN,,NAN,,0,18,18,18,1,19,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_22.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.7309,0,0,0,0,1,1.454400001,l,1.543,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_26.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,1.0396,NAN,,NAN,,0,20,20,20,1,21,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_24.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.6819,NAN,,NAN,,0,21,21,21,1,22,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_5.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.730599999,NAN,,NAN,,0,22,22,22,1,23,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_7.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.7209,NAN,,NAN,,0,23,23,23,1,24,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_25.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.729,0,0,0,0,1,1.949900001,,,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_1.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.737200001,NAN,,NAN,,0,25,25,25,1,26,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_28.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.6755,NAN,,NAN,,0,26,26,26,1,27,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_2.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.529,NAN,,NAN,,0,27,27,27,1,28,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_8.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.8051,NAN,,NAN,,0,28,28,28,1,29,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_29.jpeg,did not like,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.2451,0,0,0,0,1,0.660200001,,,,
,,,,,,,,,5,,8,,0,29,29,29,1,30,Taylor,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_13.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,1.6819,space,0.76,NAN,,NAN,,0,30,30,30,1,31,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_6.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.4371,NAN,,NAN,,0,31,31,31,1,32,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_26.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.7457,NAN,,NAN,,0,32,32,32,1,33,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_14.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.4911,NAN,,NAN,,0,33,33,33,1,34,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_28.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.921799999,0,0,0,0,1,1.1913,,,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_17.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.944700001,NAN,,NAN,,0,35,35,35,1,36,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_13.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.9369,NAN,,NAN,,0,36,36,36,1,37,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_23.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.652400001,NAN,,NAN,,0,37,37,37,1,38,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_3.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,1.1601,NAN,,NAN,,0,38,38,38,1,39,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_7.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,4.593,0,0,0,0,1,1.923,,,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_22.jpeg,liked,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.6847,NAN,,NAN,,0,40,40,40,1,41,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_2.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,1.778400001,NAN,,NAN,,0,41,41,41,1,42,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_4.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,1.650200001,NAN,,NAN,,0,42,42,42,1,43,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_20.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,1.3598,NAN,,NAN,,0,43,43,43,1,44,Charlie,Acc,Participant_Images/63d5e3bf4a739d1158b9ce64/63d5e3bf4a739d1158b9ce64_Images/63d5e3bf4a739d1158b9ce64_Image_19.jpeg,liked,5.336503566,,,,,,,,,,,,,,
