PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
63d7c5cbacd85e95302f3a62,space,28.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,19.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,2.515,space,1.021,NAN,,NAN,,0,0,0,0,1,1,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_24.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,0.725,NAN,,NAN,,0,1,1,1,1,2,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_21.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.495,NAN,,NAN,,0,2,2,2,1,3,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_14.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.593,NAN,,NAN,,0,3,3,3,1,4,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_27.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,3.809,0,0,0,0,1,,,,,
,,,,,,,,,NAN,,NAN,,0,4,4,4,1,5,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_2.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,3.279,NAN,,NAN,,0,5,5,5,1,6,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_26.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.343,NAN,,NAN,,0,6,6,6,1,7,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_20.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.323,NAN,,NAN,,0,7,7,7,1,8,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_8.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.636,NAN,,NAN,,0,8,8,8,1,9,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_19.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.706,0,0,0,0,1,2.311,,,,
,,,,,,,,,NAN,,NAN,,0,9,9,9,1,10,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_15.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.592,NAN,,NAN,,0,10,10,10,1,11,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.49,NAN,,NAN,,0,11,11,11,1,12,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_28.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.559,NAN,,NAN,,0,12,12,12,1,13,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_25.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.516,NAN,,NAN,,0,13,13,13,1,14,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_16.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.707,0,0,0,0,1,1.326,h,1.212,,
,,,,,,,,,NAN,,NAN,,0,14,14,14,1,15,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_12.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.466,NAN,,NAN,,0,15,15,15,1,16,Alex,Acc,Participant_Images/63d7c5cbacd85e95302f3a62/63d7c5cbacd85e95302f3a62_Images/63d7c5cbacd85e95302f3a62_Image_11.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
