TrialNumber,Partner,Condition,Photos,Feedback
1,Sam,Neutral,Participant_Images/101_Image_17.jpg,liked
2,Sam,Neutral,Participant_Images/101_Image_27.jpg,disliked
3,Sam,Neutral,Participant_Images/101_Image_14.jpg,disliked
4,Sam,Neutral,Participant_Images/101_Image_13.jpg,liked
5,Sam,Neutral,Participant_Images/101_Image_9.jpg,disliked
6,Sam,Neutral,Participant_Images/101_Image_19.jpg,disliked
7,Sam,Neutral,Participant_Images/101_Image_5.jpg,disliked
8,Sam,Neutral,Participant_Images/101_Image_15.jpg,disliked
9,Sam,Neutral,Participant_Images/101_Image_11.jpg,liked
10,Sam,Neutral,Participant_Images/101_Image_6.jpg,disliked
11,Sam,Neutral,Participant_Images/101_Image_23.jpg,liked
12,Sam,Neutral,Participant_Images/101_Image_16.jpg,liked
13,Sam,Neutral,Participant_Images/101_Image_4.jpg,disliked
14,Sam,Neutral,Participant_Images/101_Image_10.jpg,liked
15,Sam,Neutral,Participant_Images/101_Image_12.jpg,liked
16,Sam,Neutral,Participant_Images/101_Image_18.jpg,disliked
17,Sam,Neutral,Participant_Images/101_Image_8.jpg,disliked
18,Sam,Neutral,Participant_Images/101_Image_25.jpg,disliked
19,Sam,Neutral,Participant_Images/101_Image_22.jpg,liked
20,Sam,Neutral,Participant_Images/101_Image_20.jpg,liked
21,Sam,Neutral,Participant_Images/101_Image_3.jpg,liked
22,Sam,Neutral,Participant_Images/101_Image_7.jpg,liked
23,Sam,Neutral,Participant_Images/101_Image_1.jpg,disliked
24,Sam,Neutral,Participant_Images/101_Image_2.jpg,liked
25,Sam,Neutral,Participant_Images/101_Image_21.jpg,liked
26,Sam,Neutral,Participant_Images/101_Image_28.jpg,liked
27,Sam,Neutral,Participant_Images/101_Image_24.jpg,liked
28,Sam,Neutral,Participant_Images/101_Image_29.jpg,disliked
29,Sam,Neutral,Participant_Images/101_Image_26.jpg,disliked
30,Sam,Neutral,Participant_Images/101_Image_30.jpg,disliked
31,Riley,Acc,Participant_Images/101_Image_21.jpg,disliked
32,Riley,Acc,Participant_Images/101_Image_30.jpg,liked
33,Riley,Acc,Participant_Images/101_Image_14.jpg,liked
34,Riley,Acc,Participant_Images/101_Image_29.jpg,disliked
35,Riley,Acc,Participant_Images/101_Image_22.jpg,liked
36,Riley,Acc,Participant_Images/101_Image_6.jpg,disliked
37,Riley,Acc,Participant_Images/101_Image_4.jpg,liked
38,Riley,Acc,Participant_Images/101_Image_10.jpg,liked
39,Riley,Acc,Participant_Images/101_Image_24.jpg,liked
40,Riley,Acc,Participant_Images/101_Image_25.jpg,liked
41,Riley,Acc,Participant_Images/101_Image_17.jpg,liked
42,Riley,Acc,Participant_Images/101_Image_7.jpg,liked
43,Riley,Acc,Participant_Images/101_Image_26.jpg,disliked
44,Riley,Acc,Participant_Images/101_Image_9.jpg,disliked
45,Riley,Acc,Participant_Images/101_Image_8.jpg,liked
46,Riley,Acc,Participant_Images/101_Image_2.jpg,liked
47,Riley,Acc,Participant_Images/101_Image_16.jpg,liked
48,Riley,Acc,Participant_Images/101_Image_19.jpg,liked
49,Riley,Acc,Participant_Images/101_Image_23.jpg,liked
50,Riley,Acc,Participant_Images/101_Image_28.jpg,disliked
51,Riley,Acc,Participant_Images/101_Image_18.jpg,liked
52,Riley,Acc,Participant_Images/101_Image_5.jpg,liked
53,Riley,Acc,Participant_Images/101_Image_1.jpg,liked
54,Riley,Acc,Participant_Images/101_Image_27.jpg,liked
55,Riley,Acc,Participant_Images/101_Image_15.jpg,liked
56,Riley,Acc,Participant_Images/101_Image_11.jpg,disliked
57,Riley,Acc,Participant_Images/101_Image_20.jpg,liked
58,Riley,Acc,Participant_Images/101_Image_12.jpg,liked
59,Riley,Acc,Participant_Images/101_Image_3.jpg,disliked
60,Riley,Acc,Participant_Images/101_Image_13.jpg,disliked
61,Charlie,Rej,Participant_Images/101_Image_21.jpg,disliked
62,Charlie,Rej,Participant_Images/101_Image_27.jpg,disliked
63,Charlie,Rej,Participant_Images/101_Image_30.jpg,disliked
64,Charlie,Rej,Participant_Images/101_Image_16.jpg,liked
65,Charlie,Rej,Participant_Images/101_Image_4.jpg,disliked
66,Charlie,Rej,Participant_Images/101_Image_14.jpg,disliked
67,Charlie,Rej,Participant_Images/101_Image_29.jpg,liked
68,Charlie,Rej,Participant_Images/101_Image_18.jpg,liked
69,Charlie,Rej,Participant_Images/101_Image_17.jpg,liked
70,Charlie,Rej,Participant_Images/101_Image_15.jpg,disliked
71,Charlie,Rej,Participant_Images/101_Image_12.jpg,liked
72,Charlie,Rej,Participant_Images/101_Image_20.jpg,disliked
73,Charlie,Rej,Participant_Images/101_Image_13.jpg,disliked
74,Charlie,Rej,Participant_Images/101_Image_11.jpg,disliked
75,Charlie,Rej,Participant_Images/101_Image_24.jpg,liked
76,Charlie,Rej,Participant_Images/101_Image_7.jpg,disliked
77,Charlie,Rej,Participant_Images/101_Image_19.jpg,liked
78,Charlie,Rej,Participant_Images/101_Image_28.jpg,disliked
79,Charlie,Rej,Participant_Images/101_Image_8.jpg,disliked
80,Charlie,Rej,Participant_Images/101_Image_1.jpg,disliked
81,Charlie,Rej,Participant_Images/101_Image_6.jpg,liked
82,Charlie,Rej,Participant_Images/101_Image_26.jpg,disliked
83,Charlie,Rej,Participant_Images/101_Image_25.jpg,liked
84,Charlie,Rej,Participant_Images/101_Image_5.jpg,disliked
85,Charlie,Rej,Participant_Images/101_Image_2.jpg,disliked
