TrialNumber,Partner,Condition,Photos,Feedback
1,Charlie,Neutral,Participant_Images/101_Image_7.jpg,liked
2,Charlie,Neutral,Participant_Images/101_Image_16.jpg,liked
3,Charlie,Neutral,Participant_Images/101_Image_17.jpg,liked
4,Charlie,Neutral,Participant_Images/101_Image_12.jpg,did not like
5,Charlie,Neutral,Participant_Images/101_Image_1.jpg,liked
6,Charlie,Neutral,Participant_Images/101_Image_3.jpg,liked
7,Charlie,Neutral,Participant_Images/101_Image_8.jpg,liked
8,Charlie,Neutral,Participant_Images/101_Image_4.jpg,did not like
9,Charlie,Neutral,Participant_Images/101_Image_25.jpg,did not like
10,Charlie,Neutral,Participant_Images/101_Image_26.jpg,did not like
11,Charlie,Neutral,Participant_Images/101_Image_9.jpg,did not like
12,Charlie,Neutral,Participant_Images/101_Image_14.jpg,liked
13,Charlie,Neutral,Participant_Images/101_Image_11.jpg,liked
14,Charlie,Neutral,Participant_Images/101_Image_21.jpg,liked
15,Charlie,Neutral,Participant_Images/101_Image_19.jpg,liked
16,Charlie,Neutral,Participant_Images/101_Image_23.jpg,did not like
17,Charlie,Neutral,Participant_Images/101_Image_20.jpg,did not like
18,Charlie,Neutral,Participant_Images/101_Image_18.jpg,did not like
19,Charlie,Neutral,Participant_Images/101_Image_2.jpg,did not like
20,Charlie,Neutral,Participant_Images/101_Image_6.jpg,did not like
21,Charlie,Neutral,Participant_Images/101_Image_5.jpg,did not like
22,Charlie,Neutral,Participant_Images/101_Image_10.jpg,liked
23,Charlie,Neutral,Participant_Images/101_Image_13.jpg,did not like
24,Charlie,Neutral,Participant_Images/101_Image_24.jpg,liked
25,Charlie,Neutral,Participant_Images/101_Image_29.jpg,did not like
26,Charlie,Neutral,Participant_Images/101_Image_27.jpg,did not like
27,Charlie,Neutral,Participant_Images/101_Image_28.jpg,liked
28,Charlie,Neutral,Participant_Images/101_Image_22.jpg,liked
29,Charlie,Neutral,Participant_Images/101_Image_30.jpg,did not like
30,Charlie,Neutral,Participant_Images/101_Image_15.jpg,liked
31,Riley,Rej,Participant_Images/101_Image_9.jpg,did not like
32,Riley,Rej,Participant_Images/101_Image_23.jpg,liked
33,Riley,Rej,Participant_Images/101_Image_30.jpg,liked
