sub_ID,Social Condition,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,Choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
568d286ab5a2c2000cb6a91c,Neutral,0,1,4,5,5,0.833333333,-0.5,1,1.166666667,2,34,0,21
595727bd7c76640001aa8f6e,Neutral,0,1,4,5,5,0.6,1,0,1.6,16,23,0,21
5a4636c92f91ec0001dcba07,Neutral,0,0,3,6,4,0,-0.5,1,0.333333333,7,31,0,12
5ad2c8334d061300011b1985,Neutral,0,0,2,3,7,0.5,-1.5,1,1.166666667,1,29,1,21
5adef850eb60400001539109,Neutral,0,0,3,4,6,1,2.5,0,1.333333333,1,25,1,21
5aec7e89ae13140001fc0cdf,Neutral,0,1,3,6,6,0,-2,1,0.666666667,55,30,0,21
5b6c312fa1fda800015fe165,Neutral,0,1,2,3,3,1,-3.5,1,1,2,32,0,12
5bcc60b95c2b810001dc68e2,Neutral,0,1,2,5,5,0.2,0,0,1.2,2,27,1,21
5c1c74700036a80001193c24,Neutral,0,1,1,4,4,0.166666667,0,0,0.666666667,17,35,0,12
5c1edaeaafeeef00011588b3,Neutral,0,1,4,6,6,0.5,-1.5,1,1.333333333,2,28,1,12
5c3272172f0f3500010284c0,Neutral,0,1,4,5,5,0.666666667,-1.5,1,1.166666667,1,35,0,12
5cab944b41de360017e2c3db,Neutral,0,1,4,6,6,0.333333333,-2,1,1.166666667,2,30,0,21
5d55d562e04e1c0001f5e682,Neutral,0,0,1,7,3,0,-0.5,1,1,3,32,0,12
5dcb685070d51c8275d7bd54,Neutral,0,0,3,2,8,1,0,0,1,3,26,1,21
5dee8ee31255595293a9906b,Neutral,0,0,2,2,8,0.2,0,0,0.4,4,34,1,21
5ec75df0d799ae1c11a8115c,Neutral,0,0,1,5,5,0,-1.5,1,1.666666667,14,23,0,12
5eefc651cb94ad4c4d017b86,Neutral,0,0,1,5,5,0.8,-2,1,1,4,34,1,21
5f16f559325a640008bb9a07,Neutral,0,0,2,1,9,1,0,0,1,1,36,1,12
5f32bc368853aa03df112fc6,Neutral,0,0,3,3,7,0,-3.5,1,1,3,23,0,12
5f985596be2ea910b23827ed,Neutral,0,1,2,4,4,0,-0.5,1,0,57,23,0,21
5f9873550513db147c9d2958,Neutral,0,1,2,5,5,0.5,0,0,0,3,23,0,21
5fd18d125e1f92195b1717bc,Neutral,0,1,3,5,5,0.166666667,-0.5,1,0.666666667,4,26,1,12
5ff27bb4ad8fba794c1b96fa,Neutral,0,0,2,7,3,0,-1,1,0.666666667,8,35,0,21
6056bcf1cee7a41435889255,Neutral,0,1,2,9,9,0,-0.5,1,0.333333333,2,29,0,21
605b5b5feff0e95f2cd60834,Neutral,0,1,1,7,7,0,0,0,1.2,2,25,0,21
608209b96e955ba5201eff25,Neutral,0,1,3,5,5,1,-1.5,1,1,2,21,0,12
60bff9298f56d55c8ecd9adf,Neutral,0,0,1,3,7,1,0,0,1,4,32,0,21
60d2b326161a622cd363268a,Neutral,0,1,1,5,5,0.4,-2.5,1,1.4,2,32,0,12
60dbf4d94a3b5564b68881e8,Neutral,0,0,1,6,4,0,-1.5,1,1.333333333,3,23,0,12
60ea57c074a703877f04330b,Neutral,0,1,3,9,9,0.5,0,0,1,17,30,1,12
60ef2700e476748689a999f7,Neutral,0,0,2,1,9,1,0,0,1.333333333,4,31,0,12
60f4e3ab507bbb123f866e88,Neutral,0,1,3,5,5,0,-0.5,1,1,2,24,0,12
60fcebba7345a976efc9c080,Neutral,0,0,2,5,5,0.166666667,-0.5,1,1.333333333,2,999,999,21
60fd56db5fe37ebeca00bc83,Neutral,0,1,2,5,5,1,-1,1,1.2,2,33,0,21
60fd5a99c4e4ead0c9a6fff4,Neutral,0,1,3,3,3,1,0,0,1,2,29,0,12
60fd80b85dd6b22f66d16822,Neutral,0,1,3,4,4,0,-1,1,1,2,32,0,12
60fd89617258b322c92fdd03,Neutral,0,1,2,6,6,0.833333333,-1.5,1,1.166666667,7,22,0,21
60fdb9ec6c3006abe82e5182,Neutral,0,1,3,5,5,0,-1,1,0.75,2,23,0,12
60fec21e36a05990cfa8a715,Neutral,0,1,2,5,5,0,-1,1,0.333333333,1,26,0,21
60ff33eea57872b7188f12e2,Neutral,0,1,3,5,5,0,-0.5,1,0.5,2,31,0,12
60ff830d7a7cce48e1787ba2,Neutral,0,1,3,5,5,1,0,0,1.333333333,46,25,0,21
610024bfd6e1038ba3b1601d,Neutral,0,0,3,2,8,1,0,0,1.166666667,4,30,0,12
6100652c5329da76a962cdb3,Neutral,0,1,4,8,8,0.666666667,0,0,1.5,2,22,1,12
61006614d4c56450afce3a6b,Neutral,0,0,4,3,7,1,0,0,1.4,3,30,0,12
61006f43a84b82fb439d7cba,Neutral,0,1,3,9,9,1,0,0,1,9,26,0,21
610247cdbc9b348fd6601cb3,Neutral,0,1,4,6,6,1,-1.5,1,1,17,24,0,12
610367ad785ce86ceb8d201c,Neutral,0,1,5,9,9,0,-3,1,1,2,19,0,12
6107f902de5549cbdf72cbe1,Neutral,0,1,3,7,7,0.333333333,0,0,0.833333333,17,25,0,12
61084dbab48ab21fce452554,Neutral,0,1,2,2,2,0,-1.5,1,0.5,11,25,0,12
6112c911a83cc494df38b468,Neutral,0,1,3,6,6,0.666666667,-0.5,1,1,2,28,0,12
6112dccad39227e361c13866,Neutral,0,1,3,5,5,0.833333333,-2,1,1.166666667,2,22,0,12
6116f60ae8f48f7d1244e8d3,Neutral,0,1,4,5,5,0,-0.5,1,0.833333333,17,23,0,12
612e6569f68929afb886fb5c,Neutral,0,1,4,7,7,1,-3,1,1.166666667,11,23,0,12
61338374ecef87bfdfd1c7bb,Neutral,0,0,3,6,4,0,1,0,1.333333333,5,20,1,12
6154a88b71a7f4347658b0f7,Neutral,0,0,3,1,9,0.5,0,0,1.333333333,3,20,0,12
615a084387075364a7462335,Neutral,0,1,1,2,2,0,-1.5,1,1,8,27,0,21
62a1ed3d1357f3e033ae44f9,Neutral,0,1,3,7,7,0.166666667,-0.5,1,1,11,23,1,21
62a885d5b6af18b3d4579e1b,Neutral,0,1,3,7,7,0,0,0,0.2,2,30,1,12
62fb84322433c8d7e890a145,Neutral,0,1,4,5,5,0,-1.5,1,0.333333333,2,22,0,12
630386f64c5bbd56ab1c3b0f,Neutral,0,0,3,9,1,1,-1,1,1.6,3,32,0,21
631f3abc8826b6e7e8982648,Neutral,0,0,3,4,6,0,2.5,0,1.2,3,36,0,12
63235c5bf70d8e4f79b205cd,Neutral,0,0,2,5,5,0,2.5,0,1.666666667,3,25,1,12
6346da55c3bf67b0dbf06272,Neutral,0,1,3,7,7,0,-0.5,1,2.333333333,17,26,999,12
63ced670c8d001d1d5057140,Neutral,0,1,4,6,6,1,-0.5,1,1,2,22,0,21
63d13e2a6dd3ec4a5f6bff7b,Neutral,0,1,4,6,6,0.2,-0.5,1,1.6,2,32,1,21
63d3f98237a95683bfa381e3,Neutral,0,1,1,3,3,1,-2.5,1,0.666666667,2,25,0,21
63d3f9d0ab6c170778b0d3d1,Neutral,0,1,5,9,9,0.166666667,-0.5,1,0.666666667,1,21,0,12
63d4019999c9ab839156014c,Neutral,0,1,3,8,8,1,0,0,0,17,19,0,12
63d40481d12fc9cc4c1adab0,Neutral,0,1,2,4,4,0.2,-0.5,1,0,2,26,1,12
63d5bb0d1cc3800ad1e343dc,Neutral,0,0,3,2,8,0,0,0,0.5,4,18,1,21
